Data,Temp Med,Temp Max,Temp Min,Chuva,UR
01/01/2019,27.6,33,23.3,0,65.74
02/01/2019,28.5,33.6,23.9,1.8,63.63
03/01/2019,27.4,33.4,24.8,5.4,62.17
04/01/2019,26.2,33,24.1,33.8,66.58
05/01/2019,23.9,29.2,21.3,111.8,71.71
06/01/2019,24.6,29.1,21.1,16.2,72.88
07/01/2019,27.8,33.1,23.9,0,67.21
08/01/2019,27.7,33.4,22.5,0,64.21
09/01/2019,28.6,34.3,25.4,0,60.42
10/01/2019,27.5,32.5,22.6,6.4,60
11/01/2019,28.4,33.7,22.7,0,58.21
12/01/2019,27.3,33.4,23.9,0,56.13
13/01/2019,27.5,33.3,22.9,0,57.54
14/01/2019,29.3,34.8,25.7,0,57.5
15/01/2019,28.7,34.5,24.1,0,56.54
16/01/2019,27.3,34.9,23.2,3.2,59.58
17/01/2019,27,35.8,22.4,15.6,59.58
18/01/2019,26,31.5,22.6,0,63.5
19/01/2019,25.7,33.2,21.9,0.2,63.33
20/01/2019,26.3,33.4,21.8,0,62.46
21/01/2019,28.8,35.1,22.7,0,60.42
22/01/2019,30.3,36.7,23,0,56.71
23/01/2019,30.7,36.9,25.4,0,55.79
24/01/2019,27.2,35.6,22.3,8.4,56.75
25/01/2019,27.2,32.9,22.7,0.2,61.21
26/01/2019,26.9,33.1,21.5,0,56.67
27/01/2019,24.5,30.4,21.1,23.4,57.75
28/01/2019,27.2,33.4,21.8,0,59.63
29/01/2019,29,35.7,21.9,0,55.38
30/01/2019,28.8,35.9,23.4,1.4,54.5
31/01/2019,27.4,36.3,22.8,0,52.5
01/02/2019,29.1,37.2,22.8,0,56
02/02/2019,29.1,35.8,23.1,0,59.33
03/02/2019,28.6,36.6,21.3,0,54.63
04/02/2019,26,32.9,21.5,3.8,54.38
05/02/2019,24.2,28.1,20.8,0,52.04
06/02/2019,25.8,32.2,21.1,0,57.17
07/02/2019,26.4,33.5,20.3,0,55.83
08/02/2019,28.5,35.7,23.4,0,51.96
09/02/2019,30.5,37,24.1,0,49.63
10/02/2019,29.1,36.7,25.6,0,48.83
11/02/2019,28.2,33.8,23.5,13.2,57.33
12/02/2019,24.9,27.6,23.4,3.4,64.08
13/02/2019,25.7,30.2,22.7,6,65.33
14/02/2019,24.6,28.2,20.6,0,60.83
15/02/2019,24.1,27.8,22.1,42,69.08
